impl,n,block,warmup,iter,time_ms
gemm_cublas,512,1,3,0,0.086016
gemm_cublas,512,1,3,1,0.089088
gemm_cublas,512,1,3,2,0.086016
gemm_cublas,512,1,3,3,0.089088
gemm_cublas,512,1,3,4,0.088064
gemm_cublas,512,1,3,5,0.089088
gemm_cublas,512,1,3,6,0.088064
gemm_cublas,512,1,3,7,0.089088
gemm_cublas,512,1,3,8,0.088064
gemm_cublas,512,1,3,9,0.084992
gemm_cublas,1024,1,3,0,0.455680
gemm_cublas,1024,1,3,1,0.449536
gemm_cublas,1024,1,3,2,0.381952
gemm_cublas,1024,1,3,3,0.453632
gemm_cublas,1024,1,3,4,0.450560
gemm_cublas,1024,1,3,5,0.446464
gemm_cublas,1024,1,3,6,0.443392
gemm_cublas,1024,1,3,7,0.449536
gemm_cublas,1024,1,3,8,0.384000
gemm_cublas,1024,1,3,9,0.452608
gemm_cublas,2048,1,3,0,2.921472
gemm_cublas,2048,1,3,1,2.923520
gemm_cublas,2048,1,3,2,2.925568
gemm_cublas,2048,1,3,3,2.927616
gemm_cublas,2048,1,3,4,2.931712
gemm_cublas,2048,1,3,5,2.924544
gemm_cublas,2048,1,3,6,2.926592
gemm_cublas,2048,1,3,7,2.924544
gemm_cublas,2048,1,3,8,2.926592
gemm_cublas,2048,1,3,9,2.918400
gemm_cublas,4096,1,3,0,21.161983
gemm_cublas,4096,1,3,1,21.155840
gemm_cublas,4096,1,3,2,21.163008
gemm_cublas,4096,1,3,3,21.161983
gemm_cublas,4096,1,3,4,21.157888
gemm_cublas,4096,1,3,5,21.158913
gemm_cublas,4096,1,3,6,20.468737
gemm_cublas,4096,1,3,7,19.272703
gemm_cublas,4096,1,3,8,19.272703
gemm_cublas,4096,1,3,9,19.270657
gemm_cublas,8192,1,3,0,150.025223
gemm_cublas,8192,1,3,1,149.965820
gemm_cublas,8192,1,3,2,150.019073
gemm_cublas,8192,1,3,3,149.960709
gemm_cublas,8192,1,3,4,149.853180
gemm_cublas,8192,1,3,5,149.960709
gemm_cublas,8192,1,3,6,149.914627
gemm_cublas,8192,1,3,7,150.119431
gemm_cublas,8192,1,3,8,149.935104
gemm_cublas,8192,1,3,9,150.006790
