impl,n,block,warmup,iter,time_ms
gemm_naive,512,16,3,0,0.198656
gemm_naive,512,16,3,1,0.200704
gemm_naive,512,16,3,2,0.199680
gemm_naive,512,16,3,3,0.199680
gemm_naive,512,16,3,4,0.197632
gemm_naive,512,16,3,5,0.194560
gemm_naive,512,16,3,6,0.198656
gemm_naive,512,16,3,7,0.207872
gemm_naive,512,16,3,8,0.209920
gemm_naive,512,16,3,9,0.195584
gemm_naive,1024,16,3,0,1.423360
gemm_naive,1024,16,3,1,1.418240
gemm_naive,1024,16,3,2,1.425408
gemm_naive,1024,16,3,3,1.420288
gemm_naive,1024,16,3,4,1.418240
gemm_naive,1024,16,3,5,1.420288
gemm_naive,1024,16,3,6,1.419264
gemm_naive,1024,16,3,7,1.413120
gemm_naive,1024,16,3,8,1.426432
gemm_naive,1024,16,3,9,1.421312
gemm_naive,2048,16,3,0,11.271168
gemm_naive,2048,16,3,1,11.256832
gemm_naive,2048,16,3,2,11.276288
gemm_naive,2048,16,3,3,11.156480
gemm_naive,2048,16,3,4,10.311680
gemm_naive,2048,16,3,5,10.314752
gemm_naive,2048,16,3,6,10.307584
gemm_naive,2048,16,3,7,10.290176
gemm_naive,2048,16,3,8,10.292224
gemm_naive,2048,16,3,9,10.294272
gemm_naive,4096,16,3,0,87.626755
gemm_naive,4096,16,3,1,87.540733
gemm_naive,4096,16,3,2,87.541763
gemm_naive,4096,16,3,3,87.911423
gemm_naive,4096,16,3,4,87.842819
gemm_naive,4096,16,3,5,87.873535
gemm_naive,4096,16,3,6,87.853058
gemm_naive,4096,16,3,7,87.898109
gemm_naive,4096,16,3,8,87.922691
gemm_naive,4096,16,3,9,87.872513
gemm_naive,8192,16,3,0,705.778687
gemm_naive,8192,16,3,1,706.031616
gemm_naive,8192,16,3,2,705.754089
gemm_naive,8192,16,3,3,705.836060
gemm_naive,8192,16,3,4,706.328552
gemm_naive,8192,16,3,5,706.817017
gemm_naive,8192,16,3,6,706.762756
gemm_naive,8192,16,3,7,706.899963
gemm_naive,8192,16,3,8,707.274780
gemm_naive,8192,16,3,9,709.097473
