impl,n,block,warmup,iter,time_ms
gemm_naive_O0,512,16,3,0,0.477184
gemm_naive_O0,512,16,3,1,0.478208
gemm_naive_O0,512,16,3,2,0.477184
gemm_naive_O0,512,16,3,3,0.476160
gemm_naive_O0,512,16,3,4,0.475136
gemm_naive_O0,512,16,3,5,0.477184
gemm_naive_O0,512,16,3,6,0.476160
gemm_naive_O0,512,16,3,7,0.479232
gemm_naive_O0,512,16,3,8,0.475136
gemm_naive_O0,512,16,3,9,0.478208
gemm_naive_O0,1024,16,3,0,4.377600
gemm_naive_O0,1024,16,3,1,4.373504
gemm_naive_O0,1024,16,3,2,4.378624
gemm_naive_O0,1024,16,3,3,4.375552
gemm_naive_O0,1024,16,3,4,4.374528
gemm_naive_O0,1024,16,3,5,4.377600
gemm_naive_O0,1024,16,3,6,4.375552
gemm_naive_O0,1024,16,3,7,4.381696
gemm_naive_O0,1024,16,3,8,4.372480
gemm_naive_O0,1024,16,3,9,4.376576
gemm_naive_O0,2048,16,3,0,30.310400
gemm_naive_O0,2048,16,3,1,29.363199
gemm_naive_O0,2048,16,3,2,28.753920
gemm_naive_O0,2048,16,3,3,28.760063
gemm_naive_O0,2048,16,3,4,28.763136
gemm_naive_O0,2048,16,3,5,28.774401
gemm_naive_O0,2048,16,3,6,28.782593
gemm_naive_O0,2048,16,3,7,28.777472
gemm_naive_O0,2048,16,3,8,28.763136
gemm_naive_O0,2048,16,3,9,28.772352
gemm_naive_O0,4096,16,3,0,228.936707
gemm_naive_O0,4096,16,3,1,228.915207
gemm_naive_O0,4096,16,3,2,228.995071
gemm_naive_O0,4096,16,3,3,229.319687
gemm_naive_O0,4096,16,3,4,229.244934
gemm_naive_O0,4096,16,3,5,229.242874
gemm_naive_O0,4096,16,3,6,229.227524
gemm_naive_O0,4096,16,3,7,229.219330
gemm_naive_O0,4096,16,3,8,229.259262
gemm_naive_O0,4096,16,3,9,229.243896
gemm_naive_O0,8192,16,3,0,1931.979736
gemm_naive_O0,8192,16,3,1,1932.762085
gemm_naive_O0,8192,16,3,2,1933.194214
gemm_naive_O0,8192,16,3,3,1931.403320
gemm_naive_O0,8192,16,3,4,1933.237305
gemm_naive_O0,8192,16,3,5,1931.376587
gemm_naive_O0,8192,16,3,6,1932.492798
gemm_naive_O0,8192,16,3,7,1931.117554
gemm_naive_O0,8192,16,3,8,1930.185669
gemm_naive_O0,8192,16,3,9,1929.169922
