impl,n,block,warmup,iter,time_ms
gemm_shared,512,32,3,0,0.163840
gemm_shared,512,32,3,1,0.163840
gemm_shared,512,32,3,2,0.162816
gemm_shared,512,32,3,3,0.162816
gemm_shared,512,32,3,4,0.162816
gemm_shared,512,32,3,5,0.162816
gemm_shared,512,32,3,6,0.162816
gemm_shared,512,32,3,7,0.162816
gemm_shared,512,32,3,8,0.163840
gemm_shared,512,32,3,9,0.162816
gemm_shared,1024,32,3,0,1.030144
gemm_shared,1024,32,3,1,1.031168
gemm_shared,1024,32,3,2,1.028096
gemm_shared,1024,32,3,3,1.029120
gemm_shared,1024,32,3,4,1.030144
gemm_shared,1024,32,3,5,1.029120
gemm_shared,1024,32,3,6,1.029120
gemm_shared,1024,32,3,7,1.029120
gemm_shared,1024,32,3,8,1.030144
gemm_shared,1024,32,3,9,1.028096
gemm_shared,2048,32,3,0,8.143872
gemm_shared,2048,32,3,1,8.140800
gemm_shared,2048,32,3,2,8.139776
gemm_shared,2048,32,3,3,8.142848
gemm_shared,2048,32,3,4,8.142848
gemm_shared,2048,32,3,5,8.137728
gemm_shared,2048,32,3,6,8.139776
gemm_shared,2048,32,3,7,8.141824
gemm_shared,2048,32,3,8,8.142848
gemm_shared,2048,32,3,9,8.138752
gemm_shared,4096,32,3,0,64.579582
gemm_shared,4096,32,3,1,64.577538
gemm_shared,4096,32,3,2,64.590851
gemm_shared,4096,32,3,3,64.584702
gemm_shared,4096,32,3,4,64.590851
gemm_shared,4096,32,3,5,64.590851
gemm_shared,4096,32,3,6,64.584702
gemm_shared,4096,32,3,7,64.585732
gemm_shared,4096,32,3,8,64.580605
gemm_shared,4096,32,3,9,64.581635
gemm_shared,8192,32,3,0,519.058411
gemm_shared,8192,32,3,1,519.059448
gemm_shared,8192,32,3,2,519.268372
gemm_shared,8192,32,3,3,519.003113
gemm_shared,8192,32,3,4,518.890503
gemm_shared,8192,32,3,5,518.727661
gemm_shared,8192,32,3,6,523.774963
gemm_shared,8192,32,3,7,523.624451
gemm_shared,8192,32,3,8,523.799561
gemm_shared,8192,32,3,9,523.633667
