n,threads,run,time_sec,seed,threshold
200000000,1,1,18.128447,1,16384
200000000,1,2,18.054675,1,16384
200000000,1,3,18.209252,1,16384
200000000,1,4,18.022804,1,16384
200000000,1,5,18.646908,1,16384
200000000,2,1,9.895148,1,16384
200000000,2,2,10.800070,1,16384
200000000,2,3,9.872967,1,16384
200000000,2,4,9.863553,1,16384
200000000,2,5,10.243114,1,16384
200000000,3,1,7.114849,1,16384
200000000,3,2,7.094329,1,16384
200000000,3,3,7.286177,1,16384
200000000,3,4,7.480806,1,16384
200000000,3,5,7.238022,1,16384
200000000,4,1,5.751704,1,16384
200000000,4,2,5.590983,1,16384
200000000,4,3,5.552927,1,16384
200000000,4,4,5.799389,1,16384
200000000,4,5,5.607828,1,16384
200000000,6,1,4.331950,1,16384
200000000,6,2,4.115623,1,16384
200000000,6,3,3.990301,1,16384
200000000,6,4,4.011617,1,16384
200000000,6,5,4.120029,1,16384
200000000,8,1,3.428395,1,16384
200000000,8,2,3.229450,1,16384
200000000,8,3,3.331659,1,16384
200000000,8,4,3.433545,1,16384
200000000,8,5,3.315856,1,16384
