N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,16,4,4,1,2,0,0.000000000,0.153452024,scatter_a,recv,2,0,100,0.153452024
8000,16,4,4,1,2,1,0.153454370,0.779047397,scatter_b,recv,0,0,200,0.625593027
8000,16,4,4,1,2,2,0.779049967,0.779066404,k_loop,alloc,0,-1,100,0.000016437
8000,16,4,4,1,2,3,0.779066887,1.361418399,k_loop,recv,0,0,100,0.582351512
8000,16,4,4,1,2,4,1.361424046,1.381083462,k_loop,send,0,6,200,0.019659416
8000,16,4,4,1,2,5,1.381084074,1.400551045,k_loop,send,0,10,200,0.019466971
8000,16,4,4,1,2,6,1.400551588,1.417955609,k_loop,send,0,14,200,0.017404021
8000,16,4,4,1,2,7,1.417956076,42.658399666,k_loop,compute,0,-1,-1,41.240443590
8000,16,4,4,1,2,8,42.660991580,42.661013954,k_loop,alloc,1,-1,101,0.000022374
8000,16,4,4,1,2,9,42.661015899,43.678577387,k_loop,recv,1,1,101,1.017561488
8000,16,4,4,1,2,10,43.678580841,43.678595532,k_loop,alloc,1,-1,201,0.000014691
8000,16,4,4,1,2,11,43.678595993,43.700071045,k_loop,recv,1,6,201,0.021475052
8000,16,4,4,1,2,12,43.700072092,84.919968674,k_loop,compute,1,-1,-1,41.219896582
8000,16,4,4,1,2,13,84.919989024,84.935913863,k_loop,send,2,0,102,0.015924839
8000,16,4,4,1,2,14,84.935915703,85.144647126,k_loop,send,2,1,102,0.208731423
8000,16,4,4,1,2,15,85.144649638,85.161182284,k_loop,send,2,3,102,0.016532646
8000,16,4,4,1,2,16,85.161189636,85.161190072,k_loop,alloc,2,-1,202,0.000000436
8000,16,4,4,1,2,17,85.161190419,85.854385654,k_loop,recv,2,10,202,0.693195235
8000,16,4,4,1,2,18,85.854387962,127.167786851,k_loop,compute,2,-1,-1,41.313398889
8000,16,4,4,1,2,19,127.167798868,127.167800251,k_loop,alloc,3,-1,103,0.000001383
8000,16,4,4,1,2,20,127.167800759,128.051422104,k_loop,recv,3,3,103,0.883621345
8000,16,4,4,1,2,21,128.051426839,128.051427946,k_loop,alloc,3,-1,203,0.000001107
8000,16,4,4,1,2,22,128.051428457,128.061913277,k_loop,recv,3,14,203,0.010484820
8000,16,4,4,1,2,23,128.061915977,169.238534183,k_loop,compute,3,-1,-1,41.176618206
8000,16,4,4,1,2,24,169.245815824,170.312755949,gather,send,-1,0,300,1.066940125
